id,participant_id,condition,mental_effort_rating,url,true_classification,reaction_time_ms,human_action,human_action_result,accuracy,view_information_clicked,created_at
72,"10:33 A",5,51,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,10527,none,"URL blocked",1,1,"2025-09-17 10:39:58.076620"
73,"10:33 A",5,25,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,5411,none,"URL blocked",1,0,"2025-09-17 10:40:07.822489"
74,"10:33 A",5,49,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,20253,none,"URL allowed",1,1,"2025-09-17 10:40:33.169005"
75,"10:33 A",5,19,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,5097,none,"URL blocked",1,0,"2025-09-17 10:40:42.683370"
76,"10:42 Adrimaus",6,15,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,12889,none,"URL allowed",1,0,"2025-09-17 10:43:01.702943"
77,"10:42 Adrimaus",6,18,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,5092,none,"URL allowed",1,0,"2025-09-17 10:43:12.200516"
78,"10:42 Adrimaus",6,29,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,8497,none,"URL blocked",1,1,"2025-09-17 10:43:25.167006"
79,"10:42 Adrimaus",6,24,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,7863,none,"URL allowed",1,0,"2025-09-17 10:43:39.144101"
80,"10:42 Adrimaus",6,19,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,4531,none,"URL blocked",1,0,"2025-09-17 10:43:47.842232"
81,"10:42 Adrimaus",6,15,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,5166,none,"URL allowed",1,0,"2025-09-17 10:43:56.322874"
82,"10:42 Adrimaus",6,14,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,5935,none,"URL blocked",1,0,"2025-09-17 10:44:07.428854"
83,"10:42 Adrimaus",6,17,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,11050,none,"URL blocked",1,0,"2025-09-17 10:44:21.458069"
84,"10:42 Adrimaus",6,17,https://www.usa.gov/visas-and-immigration,Non-Malicious,10536,none,"URL allowed",1,0,"2025-09-17 10:44:35.313954"
85,"10:42 Adrimaus",6,22,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,9396,none,"URL allowed",1,1,"2025-09-17 10:44:48.465576"
86,"10:42 Adrimaus",6,27,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,19271,none,"URL blocked",1,1,"2025-09-17 10:45:14.816350"
87,"10:42 Adrimaus",6,17,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,6888,none,"URL blocked",1,0,"2025-09-17 10:45:24.808153"
88,"10:42 Adrimaus",6,15,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,19847,none,"URL blocked",1,0,"2025-09-17 10:45:47.503457"
89,"10:42 Adrimaus",6,30,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,11944,none,"URL allowed",1,1,"2025-09-17 10:46:21.645458"
90,"10:42 Adrimaus",6,15,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,4290,none,"URL blocked",1,0,"2025-09-17 10:46:37.179527"
